source_category,product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
meals-with-meat,6 Empanadas au bœuf,3270160862283,"['en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:combination-meals', 'en:frozen-ready-made-meals', 'en:microwave-meals', 'en:frozen-meals-with-meat', 'fr:empanadas-au-boeuf']",0,[],[],341.0,21.0,13.0,2.8,2.3,8.8,1.1
meals-with-meat,Pizza Di Pierra Royale surgelée 400g,3250390564843,"['en:meals', 'en:frozen-foods', 'en:pizzas-pies-and-quiches', 'en:meals-with-meat', 'en:pizzas', 'en:pork-meals', 'en:frozen-pizzas-and-pies', 'en:frozen-pizzas', 'en:pizza-with-ham-and-cheese', 'en:regina-pizza']",3,[],"['en:e250', 'en:e316', 'en:e450']",217.0,8.7,3.0,3.5,2.7,8.3,1.3
meals-with-meat,Les Mijotés pour 2 - Blanquette de Veau,3270160604906,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:frozen-ready-made-meals', 'en:veal-meat-dishes', 'en:veal-blanquette']",0,[],[],133.0,6.3,3.8,1.2,1.1,16.0,0.7
meals-with-meat,Boeuf bourguignon boîte de 400g,3256221923339,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:beef-stews', 'en:boeufs-bourguignons', 'fr:boeuf-bourguignon-en-conserve']",1,[],['en:e451'],74.0,2.3,0.9,0.8,1.3,5.3,1.0
meals-with-meat,Nems Poulet,3596710303632,"['en:meals', 'en:fresh-foods', 'en:meals-with-meat', 'en:fresh-meals', 'en:poultry-meals', 'en:variety-packs', 'en:meals-with-chicken', 'en:nems', 'en:chicken-nems', 'en:prepared-foods-variety-packs']",0,[],[],153.0,5.0,0.6,3.3,1.2,5.4,1.5
meals-with-meat,Banzai Noodle,3038359911064,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meals', 'en:dried-products', 'en:pastas', 'en:dried-products-to-be-rehydrated', 'en:meals-with-meat', 'en:noodles', 'en:instant-noodles', 'en:poultry-meals', 'en:chinese-noodles', 'en:meals-with-chicken', 'en:flavoured-asian-noodles', 'en:flavoured-dehydrated-asian-noodles']",9,[],"['en:e100', 'en:e14xx', 'en:e160c', 'en:e330', 'en:e392', 'en:e500', 'en:e501', 'en:e621', 'en:e635']",77.0,3.2,1.6,0.6,1.0,1.5,0.79
meals-with-meat,Moussaka IDS 460g,3250390400929,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:frozen-ready-made-meals', 'en:moussaka']",0,[],[],149.0,10.5,3.0,2.7,0.9,5.4,0.79
meals-with-meat,POULET CURRY ANANAS et RIZ BASMATI,3596710452996,"['en:meals', 'en:frozen-foods', 'en:meals-with-meat', 'en:rice-dishes', 'en:combination-meals', 'en:poultry-meals', 'en:frozen-ready-made-meals', 'en:meals-with-chicken', 'en:chicken-curry']",1,[],['en:e14xx'],112.0,2.2,1.1,2.6,0.9,8.4,0.56
meals-with-meat,Confit de canard,3760044390150,"['en:meats-and-their-products', 'en:meals', 'en:meats', 'en:poultries', 'en:meals-with-meat', 'en:ducks', 'en:poultry-meals', 'en:duck-dishes', 'en:duck-confit']",0,[],[],308.0,23.6,8.2,0.0,,23.7,1.5
meals-with-meat,Moussaka,3292590879525,"['en:meats-and-their-products', 'en:frozen-foods', 'en:meals', 'en:meals-with-meat', 'en:beef-dishes', 'en:frozen-ready-made-meals', 'en:microwave-meals', 'en:moussaka']",2,[],"['en:e14xx', 'en:e300']",130.0,9.2,2.8,2.8,2.4,6.6,0.89
