product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Saucisse de Toulouse et purée de pomme de terre,3564706718944,"['en:meats-and-their-products', 'en:meals', 'en:meals-with-meat', 'en:pork-meals', 'en:potato-dishes']",0,[],[],143.0,9.6,5.2,0.5,1.3,5.2,0.71
Chicken Tikka Masala,01190847,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-tikka-masala']",1,[],['en:e160c'],137.0,7.2,2.3,5.8,1.7,11.4,0.5025
Poulet yassa et boulgour,3379670021798,"['en:meals', 'en:meats-and-their-products', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'fr:poulet-yassa']",0,[],[],143.0,5.3,1.23,1.7,2.3,8.5,1.3
Poulet Basquaise,3299512161911,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:chicken-basque-style']",0,[],[],115.0,3.4,0.5,1.4,0.7,6.6,0.8
Paella royale,4056489970101,"['en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:paella']",1,[],['en:e392'],141.0,3.5,1.2,1.5,1.3,8.0,0.66
Bombey chicken&rice,5413110542004,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken']",0,[],[],172.0,8.6,3.2,3.6,0.5,5.7,0.38
Pinch Bangin’ Butter Chicken & Nutty Pilau Rice,5051873005796,"['en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:poultry-meals', 'en:meals-with-chicken']",2,[],"['en:e100', 'en:e160c']",148.0,6.5,2.0,3.3,1.4,7.0,0.553
poulet au pesto rosso mini penne et ratatouille,3261055954138,"['en:meals', 'en:meals-with-meat', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'fr:poulet-au-pesto-rosso-mini-penne-et-ratatouille']",4,[],"['en:e160a', 'en:e160ai', 'en:e160b', 'en:e331', 'en:e509']",137.0,6.9,1.3,1.9,1.1,8.1,0.7
"Paëlla de la Mer, riz cuisiné au safran",3302740085086,"['en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:microwave-meals', 'en:paella']",1,[],['en:e428'],151.0,6.9,0.9,1.0,0.9,6.8,0.59
panés savoyard x2,3266980257958,"['en:meats-and-their-products', 'en:meals', 'en:meats', 'en:fresh-foods', 'en:poultries', 'en:meals-with-meat', 'en:turkey-and-its-products', 'en:breaded-products', 'en:fresh-meals', 'en:poultry-meals', 'en:turkeys', 'en:turkey-dishes', 'fr:panes-de-dinde']",4,[],"['en:e14xx', 'en:e301', 'en:e331', 'en:e407']",225.0,12.0,3.6,1.4,2.7,9.0,1.1
Salade repas poulet rôti crudités,26019154,"['en:meals', 'en:fresh-foods', 'en:pasta-dishes', 'en:prepared-salads', 'en:meals-with-meat', 'en:fresh-meals', 'en:pasta-salads', 'en:poultry-meals', 'en:meals-with-chicken', 'en:salads']",7,[],"['en:e1105', 'en:e407a', 'en:e422', 'en:e450', 'en:e451', 'en:e471', 'en:e500']",201.0,9.7,2.1,3.8,1.7,7.8,0.55
