product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Wholemeal bread 54kcal,5010044000404,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads']",5,[],"['en:e282', 'en:e300', 'en:e471', 'en:e472e', 'en:e481']",180.0,0.0,0.0,0.0,0.0,0.0,0.0
Hand finished seeded sourdough bread,5000129341041,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:multi-seed-sour-dough-loaf', 'en:seeded-bread']",0,[],[],251.0,3.9,0.5,2.5,5.1,8.8,0.7
Finn Crisp,6410500090014,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:crispbreads', 'en:crispbreads-wholemeal', 'en:sourdough-crisp-bread']",0,[],[],350.0,2.6,0.5,1.6,20.0,10.0,1.4
6 Wraps blé complet,8410076470812,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:white-breads', 'en:wheat-breads', 'en:wheat-flatbreads']",4,[],"['en:e422', 'en:e450', 'en:e471', 'en:e500', 'en:e500ii']",295.0,6.03,1.03,2.24,5.17,9.14,1.05
Grilletine au froment sans sucres ajoutés,3182180001477,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:toasts', 'en:toasted-bread-rolls', 'en:wheat-rusk-slices']",2,[],"['en:e300', 'en:e965']",425.0,9.6,2.0,1.7,7.4,13.0,0.89
Seeded Batch,5010044002552,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:multigrain-sliced-breads']",5,[],"['en:e282', 'en:e300', 'en:e471', 'en:e472e', 'en:e481']",293.0,8.9,1.3,2.6,6.0,10.6,0.95
The Original Crunchy Rye Breads,5010265002836,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:salty-snacks', 'en:appetizers', 'en:biscuits-and-crackers', 'en:breads', 'en:crackers-appetizers', 'en:crispbreads']",0,[],[],352.0,0.952,0.19,2.86,13.3,10.5,0.762
Pain de mie american sandwich complet sans sucres ajoutés 600g,3228857002344,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",0,[],[],280.0,6.8,0.5,3.6,8.1,7.7,1.1
Tasty Wholemeal Medium,5010003000339,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads']",4,[],"['en:e282', 'en:e300', 'en:e471', 'en:e472e']",220.0,1.75,0.5,4.0,6.75,10.0,0.888
50/50 Medium Bread,5010092093441,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads']",3,[],"['en:e282', 'en:e300', 'en:e472e']",235.0,2.25,1.0,8.75,11.8,9.5,0.95
