product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Honey Nut Cheerios,0016000124790,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:seeds', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereal-grains', 'en:extruded-cereals']",1,[],"['en:e340', 'en:e340iii']",378.0,5.41,0.0,32.4,8.11,8.11,1.42
High Protein Müsli,4056489030300,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",5,[],"['en:e170', 'en:e170i', 'en:e306', 'en:e322', 'en:e330', 'en:e503', 'en:e503i']",415.0,12.0,3.3,9.9,11.6,25.6,0.9
Coco Pops,5059319024479,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:puffed-grains', 'en:chocolate-cereals', 'en:puffed-cereals', 'en:puffed-rice', 'en:chocolate-puffed-rice']",0,[],[],386.0,1.9,0.9,17.0,3.8,6.3,0.525
Bamboo crunchy chocolate,5430000992336,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",1,[],"['en:e322', 'en:e322i']",454.0,22.0,3.7,9.8,8.0,12.0,0.2
Porridge Oats,5000108022510,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:rolled-flakes', 'en:rolled-oats']",0,[],[],375.0,8.0,1.5,1.0,9.0,11.0,0.0
Weetabix,5010029000214,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:fruhstucke', 'en:fruhstuckscerealien', 'en:pflanzliche-lebensmittel-und-getranke']",0,[],[],362.0,2.0,0.6,4.4,10.0,12.0,0.28
Muesli croustillant 7 fruits,3421557501890,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:crunchy-mueslis', 'en:mueslis-with-fruits', 'en:crunchy-mueslis-with-fruits']",0,[],[],436.0,15.0,4.4,24.0,6.7,8.4,0.0
Country Crisp Chocolat Noir,5010477348593,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:breakfast-cereals-rich-in-fibre', 'en:crunchy-cereal-clusters', 'en:cereal-clusters-with-chocolate']",1,[],"['en:e322', 'en:e322i']",453.0,16.7,4.6,20.8,6.0,9.2,0.03
Muesli Croustillant nature sans gluten,3111900350335,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis', 'en:crunchy-mueslis', 'en:crunchy-mueslis-without-fruits']",0,[],[],455.0,17.0,5.2,17.0,7.3,8.6,0.01
Puffreis mit Schokolade,4021700900021,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:cereals-and-their-products', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:biscuits', 'en:breakfast-cereals', 'en:chocolate-candies', 'en:puffed-grains', 'en:bars', 'en:chocolate-cereals', 'en:puffed-cereals', 'en:chocolate-biscuits', 'en:candy-chocolate-bars', 'en:milk-chocolate-biscuits', 'en:puffed-rice', 'en:chocolate-covered-bars-with-milk-and-cereals', 'en:chocolate-puffed-rice']",0,[],[],533.0,30.0,21.0,40.0,,5.6,0.22
Knusprige Haferfleks Klassik,4000540011050,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:extruded-cereals']",0,[],[],392.0,5.4,1.1,17.0,7.5,9.7,1.0825
NESTLE NESQUIK Cerealien,3387390325621,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals']",0,[],[],378.0,3.0,0.7,22.1,9.3,8.7,0.22
Corn Flakes,8008698002223,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:extruded-cereals', 'en:extruded-flakes', 'en:corn-flakes', 'en:plain-corn-flakes', 'en:alimentos-de-origen-vegetal', 'en:alimentos-y-bebidas-de-origen-vegetal', 'en:cereales-para-el-desayuno', 'en:cereales-y-derivados', 'en:cereales-y-patatas', 'en:copos', 'en:copos-de-cereales', 'en:copos-de-maiz-tostado', 'en:desayunos']",0,[],[],371.0,1.0,0.2,4.2,5.0,8.0,1.8
,8434165581821,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:extruded-cereals', 'en:filled-cereals', 'en:breakfast-cereals-filled-with-chocolate']",4,[],"['en:e150d', 'en:e223', 'en:e322', 'en:e322i', 'en:e500', 'en:e500i']",450.0,14.0,4.0,26.0,3.5,6.3,0.53
,5601001187803,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:extruded-cereals', 'en:chocolate-wheat-shells']",1,[],['en:e322'],389.0,4.8,1.3,22.4,7.7,8.9,0.22
Mix cereales 0% azúcares añadidos,8414472103909,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals']",1,[],"['en:e322', 'en:e322i']",374.0,3.57,0.63,1.79,7.13,11.02,0.336
Lizi's,5060092030878,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis']",0,[],[],501.0,27.1,4.2,3.8,9.7,14.2,0.02
Chocapic Nestlé,3033710061983,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:breakfast-cereals-fortified-with-vitamins-and-chemical-elements', 'en:extruded-cereals', 'en:breakfast-cereals-rich-in-fibre', 'en:chocolate-wheat-shells', 'en:unfilled-breakfast-chocolate-cereals-fortified-with-vitamins-and-chemical-elements']",1,[],"['en:e322', 'en:e322i']",389.0,4.8,1.3,22.4,7.7,8.9,0.22
