product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Camembert,3365500001450,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:camemberts', 'en:cow-camemberts', 'en:pasteurized-cheeses', 'en:camemberts-from-pasteurized-cow-milk']",0,[],[],256.0,20.0,14.0,0.5,0.5,18.0,1.4
full fat soft cheese,4056489861744,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:soft-cheeses-with-bloomy-rind']",0,[],[],208.0,19.4,13.2,2.6,0.0,4.7,0.75
Lindahls Pro+,3228023230120,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:uncooked-pressed-cheeses']",0,[],[],237.0,13.0,9.2,0.0,0.0,30.0,0.0
Cottage cheese,3033491997792,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:fresh-cheeses', 'en:cheese-spreads', 'en:cottage-cheeses']",0,[],[],87.8,3.72,2.39,1.61,,12.0,0.76
Camembert de campagne,3228021170015,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:camemberts', 'en:cow-camemberts', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:camemberts-from-pasteurized-cow-milk']",0,[],[],278.0,22.0,16.0,0.0,,20.0,1.3
Spécialité fromagère au lait pasteurisé - Nature,3272770098960,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cow-cheeses', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:cheese-spreads']",0,[],[],198.0,17.0,12.0,3.2,,8.0,0.8
Grana Padano,3564700015261,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:hard-cheeses', 'en:italian-cheeses', 'en:unpasteurised-cheeses', 'en:grana-padano', 'en:grated-cheese']",1,[],['en:e1105'],398.0,29.0,18.0,0.0,0.0,33.0,1.5
Croquettes de Poisson MSC Ail et Fines Herbes,3599740000373,"['en:dairies', 'en:fermented-foods', 'en:seafood', 'en:fermented-milk-products', 'en:fishes-and-their-products', 'en:snacks', 'en:cheeses', 'en:fishes', 'en:salty-snacks', 'en:breaded-products', 'en:fish-preparations', 'en:breaded-cheeses', 'en:breaded-fish', 'en:cheese-croquettes', 'en:fried-fish-croquette', 'fr:croquettes-de-poisson', 'fr:fish-croquette-fritter']",0,[],[],180.0,7.8,0.6,0.7,1.0,12.0,1.25
Cœur Complice,3270190021278,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:fresh-foods', 'en:soft-cheeses-with-bloomy-rind', 'en:pasteurised-products', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:double-cream-cheeses', 'en:industrial-cheese']",0,[],[],335.0,30.0,21.0,0.0,0.0,17.0,1.3
Emmental français,3250390743545,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:fresh-foods', 'en:hard-cheeses', 'en:emmentaler', 'en:french-cheeses', 'en:french-emmentaler', 'en:pasteurized-cheeses', 'en:industrial-cheese']",0,[],[],368.0,28.0,19.9,0.5,0.5,27.0,0.57
"Fromage nature au lait pasteurisé 21,5% de MG, 300g",3256221115550,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:pasteurised-products', 'en:pasteurized-cheeses', 'en:cheese-spreads']",0,[],[],234.0,22.0,15.0,3.0,0.5,6.0,0.9
Ricotta,3250391334667,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:italian-cheeses', 'en:fresh-cheeses', 'en:ricotta']",2,[],"['en:e270', 'en:e330']",137.0,9.3,6.6,2.8,0.5,10.0,0.1175
Frühlingsquark,40466002,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:dairy-desserts', 'en:quarks', 'en:cream-cheeses', 'en:herb-quarks']",0,[],[],142.0,10.0,6.9,3.7,,8.8,0.75
Brie,4056489117582,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:french-cheeses', 'en:bries']",0,[],[],356.0,32.0,22.0,0.0,0.0,17.0,0.00325
Cheddar,20575342,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:pasteurised-products', 'en:cheeses-from-the-united-kingdom', 'en:cheeses-from-england', 'en:pasteurized-cheeses', 'en:sliced-cheeses', 'en:cheddar-cheese']",0,[],[],416.0,34.9,21.7,0.1,,25.4,1.81
Cancoillotte IGP Nature,4056489370284,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:french-cheeses', 'en:processed-cheese', 'en:cancoillottes']",1,[],['en:e331'],155.0,11.0,7.2,0.5,0.0,14.0,1.7
Philadelphia Light,5700419083360,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'en:cream-cheeses']",0,[],[],147.0,11.0,7.1,5.1,0.3,7.4,0.6875
Наеязан кашкавал,20588885,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses']",1,[],['en:e509'],328.0,26.0,17.0,0.1,,23.0,1.8
Parmigiano Reggiano,4056489533979,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:italian-cheeses', 'en:parmigiano-reggiano']",0,[],[],402.0,29.7,19.6,0.0,0.0,32.4,1.63
Grana Padano 16 Mesi,4056489042570,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:italian-cheeses', 'en:grana-padano']",1,[],['en:e1105'],398.0,29.0,18.0,0.0,0.0,33.0,1.5
Muscly 16,6111266960718,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses']",0,[],[],264.0,22.0,15.0,0.0,,9.0,1.6
Camembert Spécial Affiné,3176582012834,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:camemberts', 'en:cow-camemberts', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:camemberts-from-pasteurized-cow-milk', 'en:industrial-cheese']",0,[],[],268.0,20.0,14.0,0.3,,21.0,1.6
Camembert au lait cru moulé à la louche (22% MG),3254550039639,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:camemberts', 'en:cow-camemberts', 'en:french-cheeses', 'en:unpasteurised-cheeses', 'en:camemberts-from-raw-cow-milk', 'fr:camembert-au-lait-cru-fromage-a-pate-molle-a-croute-fleurie']",0,[],[],284.0,22.0,16.0,0.5,,21.0,1.7
Fromage fondu pour hamburger,20620394,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:sliced-cheeses', 'en:melted-cheese']",2,[],"['en:e160c', 'en:e330']",261.0,19.1,12.6,5.5,0.0,16.0,1.6
Cancoillotte à l'ail,3564709051765,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:french-cheeses', 'en:processed-cheese', 'en:cancoillottes']",1,[],['en:e331'],153.0,11.0,8.0,0.5,0.0,13.0,1.6
President emmental rape fondant 350g,3228024960293,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:hard-cheeses', 'en:emmentaler', 'en:grated-cheese', 'en:grated-emmentaler']",0,[],[],373.0,29.0,21.0,0.0,,27.0,0.83
"Fromage Pyramide de chèvre frais au lait pasteurisé 14% de MG, 150g",3256224310488,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:goat-cheeses', 'en:fresh-goat-cheese', 'en:cream-cheeses']",0,[],[],172.0,14.0,10.0,3.0,0.0,9.5,1.0
GALBANI MOZZARELLA CUCINA RAPEE 150g,8000430137866,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:fresh-foods', 'en:cow-cheeses', 'en:pasteurised-products', 'en:italian-cheeses', 'en:stretched-curd-cheeses', 'en:mozzarella', 'en:pasteurized-cheeses', 'en:cow-mozzarella', 'en:grated-cheese', 'en:grated-mozzarella', 'en:industrial-cheese']",0,[],[],321.0,25.0,18.0,1.0,,22.0,1.0
madame loik,3236240070306,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cow-cheeses', 'en:fresh-foods', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:cheese-spreads', 'en:cream-cheeses', 'en:industrial-cheese']",0,[],[],252.0,24.0,17.0,3.0,,5.9,1.1
Emmental français râpé,3701002400764,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:hard-cheeses', 'en:emmentaler', 'en:french-cheeses', 'en:french-emmentaler', 'en:grated-cheese', 'en:grated-emmentaler']",0,[],[],369.0,29.0,19.0,0.5,,27.0,0.7
Buko - Typ India,5760466848510,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cream-cheeses']",0,[],[],207.0,16.0,10.0,7.7,,6.9,1.1
