product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Fresa Nata,8480000642219,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-cones']",9,[],"['en:e1422', 'en:e160a', 'en:e163', 'en:e270', 'en:e330', 'en:e412', 'en:e415', 'en:e440', 'en:e471']",270.0,12.0,9.3,28.0,,3.6,0.15
Eis Cream Tiramisu,20169954,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",0,[],[],208.0,8.4,7.2,27.2,,2.7,0.09
Cookie dough,3560071249106,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",2,[],"['en:e322', 'en:e322i', 'en:e500', 'en:e500ii']",263.0,14.0,9.0,25.0,0.6,3.5,0.25
Magnum Double Gold Caramel Billionaire,8711327483071,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars', 'en:ice-cream-bars-coated-with-chocolate']",8,[],"['en:e322', 'en:e407', 'en:e410', 'en:e412', 'en:e417', 'en:e471', 'en:e476', 'en:e500']",333.0,17.0,12.0,30.0,,4.5,0.35
Cookie Dough,20396176,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",2,[],"['en:e407', 'en:e412']",252.0,14.2,9.0,22.2,,4.6,0.0004
Frisco iced coffee,7613033080517,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:coffees', 'en:ice-creams', 'en:ice-cream-tubs', 'en:coffee-ice-cream-tubs', 'en:ice-cream-in-a-box']",1,[],['en:e412'],201.0,11.0,5.6,21.0,,3.2,0.13
Ben & Jerry's Glace en Pot The Cookie Cool-loction 4x100ml,8711327321724,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:luxury-ice-cream-in-a-cup']",3,[],"['en:e322', 'en:e322i', 'en:e407', 'en:e412']",276.0,16.0,9.9,25.0,,4.0,0.14
Sandwich de nata,8480000641465,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-sandwiches']",8,[],"['en:e150c', 'en:e223', 'en:e322', 'en:e407', 'en:e412', 'en:e500', 'en:e503', 'en:e570']",276.0,10.0,6.5,23.0,,4.1,0.4325
Helados de horchata,8480000641793,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-pops']",0,[],[],106.410256410256,1.79487179487179,0.641025641025641,20.5128205128205,0.0,0.641025641025641,0.0
Eis Nuii Salted Caramel & Australian Macadamia,5900130030678,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-bars']",5,[],"['en:e322', 'en:e412', 'en:e440', 'en:e471', 'en:e476']",360.0,21.0,12.0,31.0,0.8,3.8,0.28
